id,symbol,open,high,low,lastTradedPrice,change,changePercentage,crossingVolume,tradesTime,quantity,fetched_at_utc
204,ABAN.N0000,1199.75,1220.0,1100.0,1120.0,-75.0,-6.2761507,2789,1765262395761,14,2025-12-09T06:43:40.809338
1845,AFSL.N0000,72.5,72.9,69.0,69.0,2.9,4.387292,3074,1765262328625,12,2025-12-09T06:43:40.809338
2065,AEL.N0000,72.0,73.5,72.0,72.8,0.8,1.1111112,227225,1765262518040,140,2025-12-09T06:43:40.809338
472,ACL.N0000,244.25,250.5,244.0,250.5,6.5,2.6639345,448973,1765262434373,50,2025-12-09T06:43:40.809338
406,APLA.N0000,1637.5,1638.0,1601.0,1606.0,-10.5,-0.6495515,88,1765261691867,3,2025-12-09T06:43:40.809338
554,ACME.N0000,6.3,6.3,5.9,6.0,-0.1,-1.6393442,155762,1765262348997,850,2025-12-09T06:43:40.809338
163,AGAL.N0000,50.2,52.7,50.2,52.3,2.5,5.02008,8579,1765261176879,1,2025-12-09T06:43:40.809338
2026,AGST.N0000,8.8,9.0,8.7,9.0,0.3,3.4482758,72673,1765262044520,1500,2025-12-09T06:43:40.809338
144,AHUN.N0000,107.0,107.0,102.75,106.0,1.5,1.4354067,140712,1765262492608,65,2025-12-09T06:43:40.809338
343,SPEN.N0000,149.0,149.0,148.0,148.0,0.0,0.0,1941,1765261819388,5,2025-12-09T06:43:40.809338
