city,lat,lon,congestion_percent,incident_count,fetched_at_utc,source
Colombo,6.9271,79.8612,12.8,0,2025-12-06T05:36:14.328302,simulated
Galle,6.0535,80.221,16.0,0,2025-12-06T05:36:14.328302,simulated
Kandy,7.2906,80.6337,18.7,2,2025-12-06T05:36:14.328302,simulated
Jaffna,9.6615,80.0255,30.5,0,2025-12-06T05:36:14.328302,simulated
Negombo,7.2083,79.8358,34.3,1,2025-12-06T05:36:14.328302,simulated
Anuradhapura,8.3114,80.4037,30.9,2,2025-12-06T05:36:14.328302,simulated
Kurunegala,7.4863,80.3647,47.1,3,2025-12-06T05:36:14.328302,simulated
Ratnapura,6.6828,80.3992,36.0,1,2025-12-06T05:36:14.328302,simulated
Matara,5.9549,80.555,18.0,1,2025-12-06T05:36:14.328302,simulated
Badulla,6.9934,81.055,39.5,1,2025-12-06T05:36:14.328302,simulated
