id,securityId,symbol,price,change,changePercentage,tradeDate,fetched_at_utc
52644169,267,DOCK.N0000,123.5,15.73,14.595898673100121,1764916824000,2025-12-05T06:36:35.299323
52644115,185,SEMB.N0000,0.8,0.1,14.285714285714286,1764916821000,2025-12-05T06:36:35.299323
52642879,132,HAPU.N0000,58.0,3.9,7.208872458410351,1764916019000,2025-12-05T06:36:35.299323
52643114,453,CHL.X0000,198.75,12.5,6.7114093959731544,1764916328000,2025-12-05T06:36:35.299323
52623472,2035,AGST.X0000,12.2,0.7,6.086956521739131,1764908577000,2025-12-05T06:36:35.299323
52643033,329,KHC.N0000,15.8,0.8,5.333333333333333,1764916485000,2025-12-05T06:36:35.299323
52644164,1849,SHL.N0000,6.3,0.3,5.0,1764917557000,2025-12-05T06:36:35.299323
52636990,1789,SFCL.N0000,1170.0,55.5,4.979811574697174,1764913794000,2025-12-05T06:36:35.299323
52642613,3244,AINS.N0000,37.0,1.7,4.81586402266289,1764916220000,2025-12-05T06:36:35.299323
52643414,193,BALA.N0000,73.5,3.2,4.551920341394026,1764916330000,2025-12-05T06:36:35.299323
