id,securityId,symbol,price,change,changePercentage,tradeDate,fetched_at_utc
52620465,6616,INME.N0000,2000.0,-173.25,-7.971931439088922,1764907205000,2025-12-05T04:10:55.543240
52621679,291,NAMU.N0000,610.0,-48.5,-7.365223993925588,1764907911000,2025-12-05T04:10:55.543240
52621164,439,MAL.N0000,58.0,-4.2,-6.752411575562701,1764908258000,2025-12-05T04:10:55.543240
52621355,3575,ATLL.N0000,37.4,-2.6,-6.5,1764908483000,2025-12-05T04:10:55.543240
52620292,3080,BRR.N0000,21.0,-0.9,-4.109589041095891,1764907205000,2025-12-05T04:10:55.543240
52620950,1844,AMF.N0000,69.4,-2.3,-3.2078103207810322,1764908174000,2025-12-05T04:10:55.543240
52620282,2209,ASIY.N0000,9.3,-0.3,-3.125,1764907205000,2025-12-05T04:10:55.543240
52621615,153,SING.N0000,50.4,-1.5,-2.8901734104046244,1764908057000,2025-12-05T04:10:55.543240
52621911,113,ETWO.N0000,80.0,-1.9,-2.31990231990232,1764908431000,2025-12-05T04:10:55.543240
52621547,385,CFI.N0000,435.0,-10.0,-2.247191011235955,1764908379000,2025-12-05T04:10:55.543240
