id,symbol,open,high,low,lastTradedPrice,change,changePercentage,crossingVolume,tradesTime,quantity,fetched_at_utc
204,ABAN.N0000,1230.0,1290.0,1200.0,1200.0,-33.25,-2.6961281,838,1764917084464,9,2025-12-05T07:03:33.897556
1845,AFSL.N0000,68.5,70.0,65.5,65.9,-2.6,-3.7956204,3487,1764917683674,5,2025-12-05T07:03:33.897556
2065,AEL.N0000,71.4,73.0,71.0,71.8,0.5,0.7012623,1148283,1764918071602,304,2025-12-05T07:03:33.897556
472,ACL.N0000,238.0,245.0,238.0,238.25,-1.5,-0.6256517,196934,1764918075912,110,2025-12-05T07:03:33.897556
406,APLA.N0000,1649.5,1649.5,1550.0,1551.0,-41.0,-2.575377,565,1764918132029,1,2025-12-05T07:03:33.897556
554,ACME.N0000,6.4,6.4,6.1,6.2,0.0,0.0,1843,1764916182704,350,2025-12-05T07:03:33.897556
163,AGAL.N0000,52.1,52.1,50.2,51.2,-1.4,-2.661597,30718,1764918127403,25,2025-12-05T07:03:33.897556
2026,AGST.N0000,8.7,8.9,8.4,8.5,-0.1,-1.1627907,390557,1764918086059,575,2025-12-05T07:03:33.897556
2035,AGST.X0000,12.2,12.2,12.2,12.2,0.7,6.0869565,391,1764917460522,191,2025-12-05T07:03:33.897556
144,AHUN.N0000,103.25,107.0,103.0,103.0,1.0,0.98039216,20433,1764918160179,10,2025-12-05T07:03:33.897556
