city,lat,lon,congestion_percent,incident_count,fetched_at_utc,source
Colombo,6.9271,79.8612,29.0,1,2025-12-05T06:54:50.125419,simulated
Galle,6.0535,80.221,9.6,0,2025-12-05T06:54:50.125419,simulated
Kandy,7.2906,80.6337,19.8,0,2025-12-05T06:54:50.125419,simulated
Jaffna,9.6615,80.0255,37.6,1,2025-12-05T06:54:50.125419,simulated
Negombo,7.2083,79.8358,37.2,1,2025-12-05T06:54:50.125419,simulated
Anuradhapura,8.3114,80.4037,9.2,1,2025-12-05T06:54:50.125419,simulated
Kurunegala,7.4863,80.3647,34.2,1,2025-12-05T06:54:50.125419,simulated
Ratnapura,6.6828,80.3992,28.6,2,2025-12-05T06:54:50.125419,simulated
Matara,5.9549,80.555,11.4,0,2025-12-05T06:54:50.125419,simulated
Badulla,6.9934,81.055,11.7,1,2025-12-05T06:54:50.125419,simulated
